Code,Metro,Class,Population,2010 males,2010 Males pct,2010 females,2010 female pct,2010 Sex ratio1,2010 Total population,2000 males,2000 male pct,2000 female pct,2000 female pct,2000 Sex ratio1,2010 median age,2010 Under 18 years,2010 18 to 24 years,2010 25 to 34 years,010 35 to 44 years,2010 45 to 54 years,55 to 64 years,2010 65 to 74 years,2010 75 years and over,2010 Median,2000 Under 18 years,2000 18 to 24 years,2000 25 to 34 years,2000 35 to 44 years,2000 45 to 54 years,2000 55 to 64 years,2000 65 to 74 years,2000 75 years and over
13460,"Bend, OR",Metropolitan Statistical Area,157733.00,77971.00,49.40,79762.00,50.60,97.75,115367.00,57314.00,49.70,58053.00,50.30,98.70,40.20,36221.00,11743.00,19928.00,21229.00,22800.00,22321.00,13703.00,9788.00,38.30,28583.00,9055.00,14622.00,18365.00,18093.00,11560.00,8298.00,6791.00
13740,"Billings, MT",Metropolitan Statistical Area,158050.00,77490.00,49.00,80560.00,51.00,96.19,138904.00,67869.00,48.90,71035.00,51.10,95.50,39.00,37026.00,13740.00,20984.00,18895.00,24097.00,20545.00,11810.00,10953.00,37.20,35258.00,12527.00,17126.00,22512.00,20223.00,12407.00,9610.00,9241.00
13780,"Binghamton, NY",Metropolitan Statistical Area,251725.00,123718.00,49.10,128007.00,50.90,96.65,252320.00,122309.00,48.50,130011.00,51.50,94.10,40.70,52536.00,29783.00,28278.00,28505.00,39788.00,31959.00,20058.00,20818.00,38.10,60102.00,25780.00,28450.00,40265.00,34221.00,23886.00,19895.00,19721.00
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1128047.00,544213.00,48.20,583834.00,51.80,93.21,1052238.00,504917.00,48.00,547321.00,52.00,92.30,37.50,269690.00,102114.00,155264.00,151151.00,164902.00,138787.00,80025.00,66114.00,36.00,263312.00,96430.00,149946.00,167329.00,147012.00,93646.00,72307.00,62256.00
13900,"Bismarck, ND",Metropolitan Statistical Area,108779.00,53690.00,49.40,55089.00,50.60,97.46,94719.00,46524.00,49.10,48195.00,50.90,96.50,37.80,24904.00,10540.00,15358.00,13139.00,16361.00,13551.00,7420.00,7506.00,36.30,23998.00,9621.00,11943.00,15514.00,13503.00,7807.00,6431.00,5902.00
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,162958.00,82314.00,50.50,80644.00,49.50,102.07,151272.00,76496.00,50.60,74776.00,49.40,102.30,31.10,27806.00,40887.00,19257.00,18471.00,18945.00,17635.00,11166.00,8791.00,30.20,27296.00,36816.00,20592.00,18938.00,18054.00,12791.00,9044.00,7741.00
14020,"Bloomington, IN",Metropolitan Statistical Area,192714.00,96215.00,49.90,96499.00,50.10,99.71,175506.00,86295.00,49.20,89211.00,50.80,96.70,31.00,35365.00,44012.00,25862.00,20891.00,23507.00,20521.00,12219.00,10337.00,30.70,35657.00,37545.00,24527.00,24016.00,21122.00,13708.00,10184.00,8747.00
14060,"Bloomington-Normal, IL",Metropolitan Statistical Area,169572.00,82329.00,48.60,87243.00,51.40,94.37,150433.00,72731.00,48.30,77702.00,51.70,93.60,32.10,38412.00,29378.00,23471.00,20945.00,22608.00,17418.00,9015.00,8325.00,30.50,35292.00,28000.00,21316.00,22580.00,18312.00,10312.00,7521.00,7100.00
14260,"Boise City-Nampa, ID",Metropolitan Statistical Area,616561.00,307856.00,49.90,308705.00,50.10,99.72,464840.00,232706.00,50.10,232134.00,49.90,100.20,34.10,172174.00,55932.00,87311.00,84213.00,82857.00,66793.00,37843.00,29438.00,32.40,132168.00,47354.00,70427.00,73147.00,60754.00,34829.00,23325.00,22836.00
14460,"Boston-Cambridge-Quincy, MA-NH",Metropolitan Statistical Area,4552402.00,2202868.00,48.40,2349534.00,51.60,93.76,4391344.00,2120426.00,48.30,2270918.00,51.70,93.40,38.50,983268.00,472800.00,619747.00,628670.00,705655.00,546219.00,306169.00,289874.00,36.10,1029450.00,401991.00,676813.00,751548.00,603781.00,373799.00,281436.00,272526.00
14500,"Boulder, CO",Metropolitan Statistical Area,294567.00,147916.00,50.20,146651.00,49.80,100.86,269814.00,136538.00,50.60,133276.00,49.40,102.40,35.80,62754.00,41830.00,39379.00,40989.00,44607.00,35487.00,16731.00,12790.00,33.20,60967.00,37152.00,44015.00,47159.00,40455.00,19376.00,10935.00,9755.00
14540,"Bowling Green, KY",Metropolitan Statistical Area,125953.00,61767.00,49.00,64186.00,51.00,96.23,104166.00,51103.00,49.10,53063.00,50.90,96.30,33.50,28569.00,19502.00,17247.00,15583.00,16795.00,13794.00,8216.00,6247.00,33.00,24143.00,16028.00,14601.00,15573.00,13521.00,8948.00,6173.00,5179.00
14740,"Bremerton-Silverdale, WA",Metropolitan Statistical Area,251133.00,127155.00,50.60,123978.00,49.40,102.56,231969.00,117510.00,50.70,114459.00,49.30,102.70,39.40,56496.00,25416.00,31274.00,30523.00,38782.00,35346.00,19152.00,14144.00,35.80,62064.00,21351.00,29878.00,38877.00,35334.00,19912.00,12581.00,11972.00
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,916829.00,445601.00,48.60,471228.00,51.40,94.56,882567.00,426127.00,48.30,456440.00,51.70,93.40,39.50,227019.00,72101.00,106063.00,131246.00,149286.00,107039.00,62341.00,61734.00,37.30,226214.00,61341.00,118076.00,154462.00,123716.00,81595.00,59709.00,57454.00
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,406220.00,195394.00,48.10,210826.00,51.90,92.68,335227.00,160509.00,47.90,174718.00,52.10,91.90,30.60,134199.00,39982.00,51844.00,51786.00,45941.00,37577.00,24645.00,20246.00,29.00,113295.00,35222.00,46404.00,43317.00,35797.00,23817.00,21130.00,16245.00
15260,"Brunswick, GA",Metropolitan Statistical Area,112370.00,54033.00,48.10,58337.00,51.90,92.62,93044.00,45034.00,48.40,48010.00,51.60,93.80,39.80,27202.00,9445.00,12966.00,14268.00,16660.00,15115.00,9911.00,6803.00,37.20,24295.00,7529.00,11687.00,14270.00,13320.00,9424.00,6948.00,5571.00
15380,"Buffalo-Niagara Falls, NY",Metropolitan Statistical Area,1135509.00,547979.00,48.30,587530.00,51.70,93.27,1170111.00,560533.00,47.90,609578.00,52.10,92.00,40.60,245434.00,117212.00,131790.00,139255.00,177489.00,145577.00,86918.00,91834.00,38.00,284787.00,101248.00,145390.00,186706.00,160817.00,106021.00,93443.00,91699.00
15500,"Burlington, NC",Metropolitan Statistical Area,151131.00,71890.00,47.60,79241.00,52.40,90.72,130800.00,62843.00,48.00,67957.00,52.00,92.50,38.70,35443.00,15960.00,17164.00,20676.00,21891.00,17916.00,11428.00,10653.00,36.30,31154.00,12954.00,18703.00,20374.00,17247.00,11904.00,9732.00,8732.00
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,211261.00,103475.00,49.00,107786.00,51.00,96.00,198889.00,97428.00,49.00,101461.00,51.00,96.00,37.50,44537.00,28014.00,26999.00,27680.00,33606.00,25953.00,13274.00,11198.00,34.80,48984.00,22802.00,28152.00,35057.00,28292.00,15968.00,10650.00,8984.00
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,404422.00,196138.00,48.50,208284.00,51.50,94.17,406934.00,195862.00,48.10,211072.00,51.90,92.80,41.30,92623.00,34819.00,44341.00,49735.00,62090.00,55033.00,33654.00,32127.00,38.30,101188.00,33485.00,49438.00,63630.00,58971.00,39084.00,31352.00,29786.00
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,618754.00,303600.00,49.10,315154.00,50.90,96.33,440888.00,215504.00,48.90,225384.00,51.10,95.60,45.60,120869.00,47476.00,65878.00,70476.00,81757.00,87192.00,80910.00,64196.00,45.20,86388.00,27157.00,46491.00,59232.00,54833.00,54676.00,60563.00,51548.00
