CBSA,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
39700,"Raymondville, TX Micro Area",22134,22134,22201,22119,22120,21953,21917,21903
39780,"Red Bluff, CA Micro Area",63463,63461,63593,63285,63222,62984,62961,63308
39860,"Red Wing, MN Micro Area",46183,46183,46199,46276,46402,46395,46375,46435
39940,"Rexburg, ID Micro Area",50778,50778,50833,51032,50703,50541,50938,51092
39980,"Richmond, IN Micro Area",68917,69003,68900,68754,68287,67839,67447,67001
40080,"Richmond-Berea, KY Micro Area",99972,99972,100262,101344,102000,102267,103522,104766
40100,"Rio Grande City, TX Micro Area",60968,60968,61172,61763,62023,62509,63149,63795
40180,"Riverton, WY Micro Area",40123,40123,40222,40591,41129,41024,40717,40315
40260,"Roanoke Rapids, NC Micro Area",76790,76789,76528,76208,75230,74184,73586,72882
40300,"Rochelle, IL Micro Area",53497,53497,53440,53149,52820,52335,52023,51659
40460,"Rockingham, NC Micro Area",46639,46639,46626,46606,46350,46137,45700,45437
40540,"Rock Springs, WY Micro Area",43806,43806,43593,44041,45104,45162,44925,44626
40620,"Rolla, MO Micro Area",45156,45154,45313,45186,45227,44978,44960,44794
40700,"Roseburg, OR Micro Area",107667,107667,107662,107273,107127,106887,106998,107685
40740,"Roswell, NM Micro Area",65645,65645,65746,65681,65786,65989,65837,65764
40780,"Russellville, AR Micro Area",83939,83939,84263,84568,84410,84280,84963,85103
40820,"Ruston, LA Micro Area",46735,46735,46863,47066,47088,47390,47429,47774
40860,"Rutland, VT Micro Area",61642,61646,61585,61266,60915,60585,60150,59736
40940,"Safford, AZ Micro Area",37220,37220,37137,37081,36946,37386,37958,37666
41220,"St. Marys, GA Micro Area",50513,50513,50670,50312,51368,51469,51973,52102
41400,"Salem, OH Micro Area",107841,107841,107863,107265,106441,105827,105597,104806
41460,"Salina, KS Micro Area",61697,61697,61869,61806,61919,61820,61704,61666
41760,"Sandpoint, ID Micro Area",40877,40877,40917,40824,40438,40675,41533,41859
41780,"Sandusky, OH Micro Area",77079,77079,77034,76682,76464,76148,75860,75550
41820,"Sanford, NC Micro Area",57866,57866,57887,58552,59365,59927,59588,59660
42300,"Sault Ste. Marie, MI Micro Area",38520,38673,38600,38902,39003,38674,38320,38033
42380,"Sayre, PA Micro Area",62622,62622,62615,63034,62829,62325,61673,61281
42420,"Scottsbluff, NE Micro Area",38971,38971,39084,38996,39000,38944,38520,38309
42460,"Scottsboro, AL Micro Area",53227,53226,53179,53264,53064,52921,52631,52419
42620,"Searcy, AR Micro Area",77076,77076,77333,78133,78680,78685,78643,79161
42740,"Sedalia, MO Micro Area",42201,42201,42267,42134,42288,42186,42213,42255
42780,"Selinsgrove, PA Micro Area",39702,39709,39745,39659,39795,40079,40255,40444
42820,"Selma, AL Micro Area",43820,43820,43803,43178,42777,42021,41662,41131
42860,"Seneca, SC Micro Area",74273,74275,74357,74234,74612,74952,75232,75713
42900,"Seneca Falls, NY Micro Area",35251,35244,35245,35359,35381,35258,34890,34833
42940,"Sevierville, TN Micro Area",89889,89876,90131,91282,92436,93532,94889,95946
42980,"Seymour, IN Micro Area",42376,42380,42578,42935,43032,43514,43803,44069
43020,"Shawano, WI Micro Area",46181,46187,46199,46169,45992,45941,46084,45877
43060,"Shawnee, OK Micro Area",69442,69442,69654,70145,70685,71171,71802,71875
43140,"Shelby, NC Micro Area",98078,98083,97989,97558,97440,97006,97007,96879
43180,"Shelbyville, TN Micro Area",45058,45058,45103,45279,45327,45712,46428,47183
43220,"Shelton, WA Micro Area",60699,60699,60752,60917,60772,60550,60694,61023
43260,"Sheridan, WY Micro Area",29116,29116,29146,29275,29594,29794,30020,30009
43320,"Show Low, AZ Micro Area",107449,107491,107715,107429,107033,107424,108119,108277
43380,"Sidney, OH Micro Area",49423,49423,49313,49244,49125,49121,48942,48901
43460,"Sikeston, MO Micro Area",39191,39187,39241,39131,39123,39188,38856,39008
43500,"Silver City, NM Micro Area",29514,29514,29398,29396,29331,29257,29002,28609
43660,"Snyder, TX Micro Area",16921,16921,16940,16878,17094,17246,17356,17615
43700,"Somerset, KY Micro Area",63063,63063,63208,63415,63484,63694,63798,63782
43740,"Somerset, PA Micro Area",77742,77748,77759,77387,77193,76757,76226,75522
43760,"Sonora, CA Micro Area",55365,55365,55185,54746,54129,53940,53872,53709
43940,"Spearfish, SD Micro Area",24097,24097,24197,24335,24397,24951,24717,24827
43980,"Spencer, IA Micro Area",16667,16667,16633,16609,16571,16478,16520,16507
44020,"Spirit Lake, IA Micro Area",16667,16667,16668,16889,16975,16934,16928,17111
44260,"Starkville, MS Micro Area",47671,47671,47712,47864,48960,49275,49343,49800
44340,"Statesboro, GA Micro Area",70217,70217,70639,72853,72853,71358,72217,72651
44460,"Steamboat Springs, CO Micro Area",23509,23506,23450,23256,23240,23489,23917,24130
44500,"Stephenville, TX Micro Area",37890,37890,37887,38987,39470,39999,40617,41122
44540,"Sterling, CO Micro Area",22709,22709,22130,22107,21869,21676,21954,22036
44580,"Sterling, IL Micro Area",58498,58498,58496,58226,57785,57452,57084,57079
44620,"Stevens Point, WI Micro Area",70019,70019,69995,70173,70500,70577,70500,70408
44660,"Stillwater, OK Micro Area",77350,77350,77444,77970,78509,79481,80305,80850
44740,"Storm Lake, IA Micro Area",20260,20260,20324,20247,20541,20574,20680,20493
44780,"Sturgis, MI Micro Area",61295,61295,61288,61078,60953,60940,61120,61018
44860,"Sulphur Springs, TX Micro Area",35161,35161,35202,35314,35398,35431,35857,36223
44900,"Summerville, GA Micro Area",26015,26015,25958,25678,25639,25073,24892,24922
44920,"Summit Park, UT Micro Area",36324,36327,36512,37444,37923,38468,39136,39633
44980,"Sunbury, PA Micro Area",94528,94514,94349,94458,94519,94037,93770,93246
45000,"Susanville, CA Micro Area",34895,34895,34839,34298,33674,32176,31732,31345
45020,"Sweetwater, TX Micro Area",15216,15217,15246,15128,14891,15074,15105,15107
45140,"Tahlequah, OK Micro Area",46987,46985,47121,47744,48062,47928,48302,48447
45180,"Talladega-Sylacauga, AL Micro Area",93830,94049,93829,93169,93126,92373,92065,91586
45340,"Taos, NM Micro Area",32937,32940,32904,32944,32830,32992,33041,32907
45380,"Taylorville, IL Micro Area",34800,34800,34785,34728,34526,34189,33917,33642
45520,"The Dalles, OR Micro Area",25213,25213,25270,25246,25470,25464,25507,25775
45580,"Thomaston, GA Micro Area",27153,27153,27064,26934,26598,26498,26240,26368
45620,"Thomasville, GA Micro Area",44720,44719,44755,44614,44561,44893,44990,45063
45660,"Tiffin, OH Micro Area",56745,56745,56630,56432,56037,55814,55751,55610
45700,"Tifton, GA Micro Area",40118,40122,40242,41371,40967,40216,40619,40764
45740,"Toccoa, GA Micro Area",26175,26172,26149,25741,25721,25597,25455,25586
45860,"Torrington, CT Micro Area",189927,189927,189773,188945,187455,186609,184910,183603
45900,"Traverse City, MI Micro Area",143372,143372,143315,144380,145086,146369,147563,148334
45980,"Troy, AL Micro Area",32899,32899,32957,32903,33105,33630,33090,33046
46020,"Truckee-Grass Valley, CA Micro Area",98764,98748,98777,98779,98288,98142,98763,98877
46100,"Tullahoma-Manchester, TN Micro Area",100210,100209,100091,100142,100239,100904,101352,102048
46180,"Tupelo, MS Micro Area",136268,136268,136362,137302,138815,139529,139556,139817
46300,"Twin Falls, ID Micro Area",99604,99604,100002,100581,101033,102582,103898,105189
46380,"Ukiah, CA Micro Area",87841,87840,87811,87495,87522,87373,87683,87649
46460,"Union City, TN-KY Micro Area",38620,38620,38631,38404,37888,37451,37134,36877
46500,"Urbana, OH Micro Area",40097,40097,40059,39873,39578,39451,39078,38987
46620,"Uvalde, TX Micro Area",26405,26405,26447,26584,26775,26944,27214,27245
46740,"Valley, AL Micro Area",34215,34170,34098,33993,34075,34153,34052,34123
46780,"Van Wert, OH Micro Area",28744,28744,28665,28694,28718,28465,28442,28562
46820,"Vermillion, SD Micro Area",13864,13864,13836,14032,14106,13964,13991,13964
46860,"Vernal, UT Micro Area",32588,32584,32444,33286,34685,35745,36963,37928
46900,"Vernon, TX Micro Area",13535,13535,13502,13426,13254,13137,12944,13027
46980,"Vicksburg, MS Micro Area",58377,58371,58386,58034,57497,57444,57143,56635
47080,"Vidalia, GA Micro Area",36346,36346,36396,36247,36082,36197,36168,36192
47180,"Vincennes, IN Micro Area",38440,38440,38389,38467,38046,38023,37845,37927
47240,"Vineyard Haven, MA Micro Area",16535,16535,16557,16680,16788,17155,17320,17299
47340,"Wabash, IN Micro Area",32888,32888,32854,32585,32435,32351,32282,32138
47420,"Wahpeton, ND-MN Micro Area",22897,22897,22908,22850,22831,22842,22890,22798
47540,"Wapakoneta, OH Micro Area",45949,45949,45934,45819,45875,45907,45890,45876
47620,"Warren, PA Micro Area",41815,41815,41755,41495,41238,40962,40720,40396
47660,"Warrensburg, MO Micro Area",52595,52595,52727,53459,54465,54491,54410,53951
47700,"Warsaw, IN Micro Area",77358,77356,77340,77363,77610,77876,78445,78620
47780,"Washington, IN Micro Area",31648,31654,31744,31951,32150,32303,32745,32906
47820,"Washington, NC Micro Area",47759,47773,47781,47692,47507,47440,47513,47651
