CBSA,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0,United States,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820
0,In metropolitan statistical area,262452132,262464496,263044201,265420886,267857302,270231023,272736401,275252217
10180,"Abilene, TX Metro Area",165252,165252,165609,166639,167578,167549,168380,169578
10420,"Akron, OH Metro Area",703200,703207,703119,703180,702674,703788,704835,704243
10500,"Albany, GA Metro Area",157308,157500,157665,157805,157370,155864,155020,153526
10540,"Albany, OR Metro Area",116672,116672,116890,118137,118359,118545,119269,120547
10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870713,871112,873222,875542,878542,880091,881830
10740,"Albuquerque, NM Metro Area",887077,887075,889625,897024,901103,903502,904720,907301
10780,"Alexandria, LA Metro Area",153922,153922,154131,154408,154459,154785,154798,154484
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822157,825219,827115,826766,829731,832327
11020,"Altoona, PA Metro Area",127089,127078,127051,127192,127015,126426,126016,125593
11100,"Amarillo, TX Metro Area",251933,251933,252725,256069,257915,259061,260987,262056
11180,"Ames, IA Metro Area",89542,89542,89633,90956,91868,93627,95456,96021
11260,"Anchorage, AK Metro Area",380821,380821,383166,388174,392404,397414,398642,399790
11460,"Ann Arbor, MI Metro Area",344791,345066,345563,349048,351213,354289,357029,358880
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118437,117768,117286,116575,115993,115620
11540,"Appleton, WI Metro Area",225666,225666,225944,227482,228641,229927,231483,233007
11700,"Asheville, NC Metro Area",424858,424860,425462,428387,431983,437267,441782,446840
12020,"Athens-Clarke County, GA Metro Area",192541,192541,193451,194618,196397,197892,199029,203189
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5303758,5374179,5455324,5523527,5615364,5710795
12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274549,274761,275078,275763,276321,275499,274219
12220,"Auburn-Opelika, AL Metro Area",140247,140296,140782,144087,147899,151506,154426,156993
12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,566568,570891,576560,579957,583338,590146
12420,"Austin-Round Rock, TX Metro Area",1716289,1716313,1727627,1781409,1835298,1884439,1943465,2000860
12540,"Bakersfield, CA Metro Area",839631,839631,841682,849949,856576,865787,874190,882176
12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710575,2715561,2735306,2755992,2773536,2786853,2797407
12620,"Bangor, ME Metro Area",153923,153920,153871,153822,153607,153527,153535,152692
12700,"Barnstable Town, MA Metro Area",215888,215888,215930,215339,214806,214685,214665,214333
12940,"Baton Rouge, LA Metro Area",802484,802500,804309,808469,814757,820106,825499,830480
12980,"Battle Creek, MI Metro Area",136146,136148,136025,135291,134750,134772,134821,134314
13020,"Bay City, MI Metro Area",107771,107771,107695,107497,107121,106958,106256,105659
13140,"Beaumont-Port Arthur, TX Metro Area",403190,403190,403701,405204,403778,405433,405644,408419
13220,"Beckley, WV Metro Area",124898,124901,124897,125115,124963,124181,123366,122507
13380,"Bellingham, WA Metro Area",201140,201140,201570,203415,204961,206349,208491,212284
13460,"Bend-Redmond, OR Metro Area",157733,157733,157839,159765,161749,165930,170398,175268
13740,"Billings, MT Metro Area",158934,158934,159355,160789,162883,165210,166853,168283
13780,"Binghamton, NY Metro Area",251725,251723,251456,250401,249157,248432,247446,246020
13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1128879,1130905,1133993,1139018,1142823,1145647
13900,"Bismarck, ND Metro Area",114778,114778,115293,117137,120047,123812,126668,129517
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178258,178525,178890,179502,180836,181438,181747
14010,"Bloomington, IL Metro Area",186133,186133,186444,187368,189102,191271,190356,189413
14020,"Bloomington, IN Metro Area",159549,159542,160139,161838,162687,163272,164605,165577
14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85669,85298,85395,85593,85578,85229
14260,"Boise City, ID Metro Area",616561,616561,618020,627647,637653,650097,664707,676909
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4565410,4608426,4652342,4698356,4739385,4774321
1446014454,"Boston, MA Metro Division",1887792,1887745,1893962,1912979,1932117,1952426,1969547,1984537
1446015764,"Cambridge-Newton-Framingham, MA Metro Division",2246244,2246301,2252896,2275423,2297764,2322448,2343009,2361182
1446040484,"Rockingham County-Strafford County, NH Metro Division",418366,418366,418552,420024,422461,423482,426829,428602
14500,"Boulder, CO Metro Area",294567,294571,295986,300671,305548,310706,313864,319372
14540,"Bowling Green, KY Metro Area",158599,158599,159154,160716,162102,164022,165947,168436
14740,"Bremerton-Silverdale, WA Metro Area",251133,251133,251723,254458,254764,253325,254525,260131
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916850,919744,929013,935238,941793,945816,948053
15180,"Brownsville-Harlingen, TX Metro Area",406220,406219,407626,413130,415977,418071,420400,422156
15260,"Brunswick, GA Metro Area",112370,112368,112540,113010,113360,113876,114758,116003
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135551,1135566,1135593,1135198,1136008,1136642,1135230
15500,"Burlington, NC Metro Area",151131,151241,151581,152947,153822,154886,156357,158276
15540,"Burlington-South Burlington, VT Metro Area",211261,211262,211554,212886,213968,215177,216335,217042
15680,"California-Lexington Park, MD Metro Area",105151,105151,105758,107779,109019,109510,110350,111413
15940,"Canton-Massillon, OH Metro Area",404422,404420,404286,403186,403390,403299,403847,402976
15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,620532,631368,644865,660929,679233,701982
16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,96443,97062,97235,97216,97579,97534
16060,"Carbondale-Marion, IL Metro Area",126575,126580,126821,127043,125742,127012,126651,126828
16180,"Carson City, NV Metro Area",55274,55274,55030,54756,54598,54057,54480,54521
16220,"Casper, WY Metro Area",75450,75450,75472,76420,78699,81156,81603,82178
16300,"Cedar Rapids, IA Metro Area",257940,257940,258409,260896,261757,262350,263974,266040
16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,149948,151037,151618,152181,152951,153638
16580,"Champaign-Urbana, IL Metro Area",231891,231889,232290,233313,234583,236022,237579,238984
16620,"Charleston, WV Metro Area",227078,227071,226895,225783,225735,224654,222824,220614
16700,"Charleston-North Charleston, SC Metro Area",664607,664643,667496,681220,697040,711405,726969,744526
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2223672,2256845,2295310,2336266,2379177,2426363
16820,"Charlottesville, VA Metro Area",218705,218707,219094,221300,223085,224590,226860,229514
16860,"Chattanooga, TN-GA Metro Area",528143,528145,529220,533350,538148,542149,544197,547776
16940,"Cheyenne, WY Metro Area",91738,91881,92271,92663,94894,96006,96469,97121
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9471357,9495578,9520766,9545362,9557294,9551031
1698016974,"Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263098,7270900,7295444,7319196,7339934,7347318,7340454
1698020994,"Elgin, IL Metro Division",620429,620466,621246,624304,626101,628357,632194,635199
1698023844,"Gary, IN Metro Division",708070,708138,708291,707828,706497,705579,705418,703031
1698029404,"Lake County-Kenosha County, IL-WI Metro Division",869888,869835,870920,868002,868972,871492,872364,872347
17020,"Chico, CA Metro Area",220000,220000,219977,220019,221205,222154,224033,225411
17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2117863,2123412,2129877,2137868,2148450,2157719
17300,"Clarksville, TN-KY Metro Area",260625,260610,261691,264464,275353,273211,277894,281021
17420,"Cleveland, TN Metro Area",115788,115788,115963,116738,117817,118557,119769,120864
17460,"Cleveland-Elyria, OH Metro Area",2077240,2077246,2075661,2068349,2064321,2064854,2064079,2060810
17660,"Coeur d'Alene, ID Metro Area",138494,138494,138910,141056,142292,144289,147245,150346
17780,"College Station-Bryan, TX Metro Area",228660,228660,229473,231418,234108,237880,242919,249156
17820,"Colorado Springs, CO Metro Area",645613,645611,650366,660276,669051,678384,686252,697856
17860,"Columbia, MO Metro Area",162642,162642,163200,166000,168730,171126,173019,174974
17900,"Columbia, SC Metro Area",767598,767477,769692,776718,784044,791820,800011,810068
17980,"Columbus, GA-AL Metro Area",294865,295531,296500,302636,311905,317443,314342,313749
18020,"Columbus, IN Metro Area",76794,76786,76846,77630,78924,79505,80220,81162
18140,"Columbus, OH Metro Area",1901974,1902015,1906439,1925973,1946452,1970511,1997308,2021632
18580,"Corpus Christi, TX Metro Area",428185,428188,427997,431018,436958,443362,448351,452422
18700,"Corvallis, OR Metro Area",85579,85581,85565,86025,86441,86024,86414,87572
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236005,238850,247506,252883,257209,262172
19060,"Cumberland, MD-WV Metro Area",103299,103299,103253,102667,101900,101365,100611,99979
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426214,6452614,6574298,6709559,6822353,6958092,7102796
1910019124,"Dallas-Plano-Irving, TX Metro Division",4230520,4230031,4248610,4335904,4432872,4511504,4607586,4707151
1910023104,"Fort Worth-Arlington, TX Metro Division",2195694,2196183,2204004,2238394,2276687,2310849,2350506,2395645
19140,"Dalton, GA Metro Area",142227,142227,142317,142531,142616,142384,142971,143781
19180,"Danville, IL Metro Area",81625,81625,81613,81386,80804,80530,79837,79282
19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183193,186659,190396,195126,199713,203709
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380236,381147,382890,384089,383995,383606
19380,"Dayton, OH Metro Area",799232,799216,800303,801389,802296,801622,801145,800909
19460,"Decatur, AL Metro Area",153829,153825,153908,153990,153888,153221,153082,152680
19500,"Decatur, IL Metro Area",110768,110768,110780,110630,110103,109550,108381,107303
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,590688,591838,595703,601402,610290,623279
19740,"Denver-Aurora-Lakewood, CO Metro Area",2543482,2543600,2554468,2601104,2648482,2700086,2755856,2814330
19780,"Des Moines-West Des Moines, IA Metro Area",569633,569633,571981,580949,589670,600263,612156,622899
19820,"Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291288,4287427,4294049,4297081,4301480,4302043
1982019804,"Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820641,1815199,1801273,1792514,1775713,1766008,1759335
1982047664,"Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475672,2476089,2486154,2501535,2521368,2535472,2542708
20020,"Dothan, AL Metro Area",145639,145639,145870,146661,147610,147568,147993,148171
20100,"Dover, DE Metro Area",162310,162349,162990,165242,167611,169385,171773,173533
20220,"Dubuque, IA Metro Area",93653,93653,93924,94612,95227,95981,96587,97125
20260,"Duluth, MN-WI Metro Area",279771,279771,279746,279849,279526,279781,279983,279601
20500,"Durham-Chapel Hill, NC Metro Area",504357,506631,508123,516010,525221,533829,543217,552493
20700,"East Stroudsburg, PA Metro Area",169842,169842,169906,169876,168579,167310,167242,166397
20740,"Eau Claire, WI Metro Area",161151,161390,161652,162850,163925,164951,165085,165636
20940,"El Centro, CA Metro Area",174528,174528,174750,176372,177557,177579,179332,180191
21060,"Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149940,151330,150476,151573,151895,148604
21140,"Elkhart-Goshen, IN Metro Area",197559,197561,197471,198509,199229,200476,201739,203474
21300,"Elmira, NY Metro Area",88830,88842,88969,88997,89277,88523,87469,87071
21340,"El Paso, TX Metro Area",804123,804123,807102,823426,835201,835769,838756,838972
21500,"Erie, PA Metro Area",280566,280566,280774,281116,281076,280117,278936,278045
21660,"Eugene, OR Metro Area",351715,351715,351966,353637,354610,355650,358506,362895
21780,"Evansville, IN-KY Metro Area",311552,311552,311817,312642,313389,314454,315137,315693
21820,"Fairbanks, AK Metro Area",97581,97581,98289,98146,100370,101007,99371,99631
22020,"Fargo, ND-MN Metro Area",208777,208777,209419,213082,217727,223695,228557,233836
22140,"Farmington, NM Metro Area",130044,130045,130140,128016,128359,126564,123990,118737
22180,"Fayetteville, NC Metro Area",366383,366383,367623,373337,373605,377479,377458,376509
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,465802,474343,483158,492352,502064,513559
22380,"Flagstaff, AZ Metro Area",134421,134437,134626,134182,135978,136612,137637,139097
22420,"Flint, MI Metro Area",425790,425790,425057,421784,418110,415695,412934,410849
22500,"Florence, SC Metro Area",205566,205571,205683,205714,206156,206186,206756,206448
22520,"Florence-Muscle Shoals, AL Metro Area",147137,147137,147261,147061,147152,147200,147543,146950
22540,"Fond du Lac, WI Metro Area",101633,101633,101712,101898,101856,101865,102010,101973
22660,"Fort Collins, CO Metro Area",299630,299630,300524,305314,310970,316618,324657,333577
22900,"Fort Smith, AR-OK Metro Area",280467,280515,280681,281006,280810,280041,279821,280241
23060,"Fort Wayne, IN Metro Area",416257,416254,416912,419838,421851,424448,426940,429820
23420,"Fresno, CA Metro Area",930450,930452,932462,940971,947713,955217,964983,974861
23460,"Gadsden, AL Metro Area",104430,104427,104442,104236,104235,103852,103452,103057
23540,"Gainesville, FL Metro Area",264275,264274,264619,266674,268547,270173,273495,277163
23580,"Gainesville, GA Metro Area",179684,179684,180003,182920,185012,187588,190525,193535
23900,"Gettysburg, PA Metro Area",101407,101417,101472,101657,101572,101525,101787,102295
24020,"Glens Falls, NY Metro Area",128923,128921,128976,128776,128462,127890,127356,126918
24140,"Goldsboro, NC Metro Area",122623,122623,122892,124028,124516,124597,124502,124132
24220,"Grand Forks, ND-MN Metro Area",98461,98461,98616,98187,99198,101020,101779,102449
24260,"Grand Island, NE Metro Area",81850,81850,82057,82698,83461,84099,84751,85066
24300,"Grand Junction, CO Metro Area",146723,146723,146489,147372,147720,147676,147890,148513
24340,"Grand Rapids-Wyoming, MI Metro Area",988938,988940,989524,996733,1006814,1018291,1028962,1038583
24420,"Grants Pass, OR Metro Area",82713,82713,82868,82641,82791,83263,83606,84745
24500,"Great Falls, MT Metro Area",81327,81327,81533,81772,81767,82367,82268,82278
24540,"Greeley, CO Metro Area",252825,252831,254166,258704,264117,270368,276379,285174
24580,"Green Bay, WI Metro Area",306241,306241,306736,308771,311081,312514,314498,316519
24660,"Greensboro-High Point, NC Metro Area",723801,723798,725068,730175,736015,741422,747397,752157
24780,"Greenville, NC Metro Area",168148,168148,168822,170782,172924,174339,175103,175842
24860,"Greenville-Anderson-Mauldin, SC Metro Area",824112,824107,825782,833560,842067,850124,862533,874869
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",370702,370787,371451,375726,379022,382558,386297,389255
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",251599,251602,252384,254525,256233,257910,259817,261486
25220,"Hammond, LA Metro Area",121097,121101,121491,122644,123672,125413,126948,128755
25260,"Hanford-Corcoran, CA Metro Area",152982,152982,152367,151969,151201,150748,150108,150965
25420,"Harrisburg-Carlisle, PA Metro Area",549475,549473,550239,551895,554913,558041,561134,565006
25500,"Harrisonburg, VA Metro Area",125228,125217,125415,126873,128479,128986,130395,131131
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1212381,1212387,1214139,1216195,1214591,1214949,1213225,1211324
25620,"Hattiesburg, MS Metro Area",142842,142857,143293,145263,146665,147760,148168,148839
25860,"Hickory-Lenoir-Morganton, NC Metro Area",365497,365492,365196,364234,363389,363016,362223,362510
25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",187010,187010,187832,189363,193362,197571,202137,207413
25980,"Hinesville, GA Metro Area",77917,77917,77369,80365,81550,80648,82317,80198
26140,"Homosassa Springs, FL Metro Area",141236,141236,141266,139755,139256,138985,139217,141058
26300,"Hot Springs, AR Metro Area",96024,96000,96128,96603,96798,97006,97185,97177
26380,"Houma-Thibodaux, LA Metro Area",208178,208176,208224,208631,208789,209911,211454,212297
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",5920416,5920493,5948253,6059752,6185988,6332710,6497864,6656947
26580,"Huntington-Ashland, WV-KY-OH Metro Area",364908,364930,365075,364820,364860,364087,363153,361580
26620,"Huntsville, AL Metro Area",417593,417593,419301,425131,430017,435590,440724,444752
26820,"Idaho Falls, ID Metro Area",133265,133337,133824,134956,136301,137039,138126,139747
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1887877,1888082,1892614,1910355,1929052,1953277,1971861,1988817
26980,"Iowa City, IA Metro Area",152586,152586,152988,155562,158842,161854,164508,166498
27060,"Ithaca, NY Metro Area",101564,101594,101774,102120,103133,104367,104727,104926
27100,"Jackson, MI Metro Area",160248,160248,160169,159683,160137,159858,159624,159494
27140,"Jackson, MS Metro Area",567122,567645,568799,574309,576779,577150,578335,578777
27180,"Jackson, TN Metro Area",130011,130009,130009,129778,130326,130653,130103,129682
27260,"Jacksonville, FL Metro Area",1345596,1345596,1349083,1362032,1379209,1396267,1421004,1449481
27340,"Jacksonville, NC Metro Area",177772,177772,179595,177857,183769,185560,185267,186311
27500,"Janesville-Beloit, WI Metro Area",160331,160331,160234,159999,160288,160634,161267,161448
27620,"Jefferson City, MO Metro Area",149807,149807,149955,150361,150350,150586,150847,151145
27740,"Johnson City, TN Metro Area",198716,198716,198973,199767,200504,200565,200148,200648
27780,"Johnstown, PA Metro Area",143679,143674,143468,142584,141540,138835,137534,136411
27860,"Jonesboro, AR Metro Area",121026,121026,121248,122821,124232,125828,126821,128394
27900,"Joplin, MO Metro Area",175518,175516,175871,176676,174494,175262,176162,177211
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",154924,154925,155068,156891,158599,161036,163487,164726
28020,"Kalamazoo-Portage, MI Metro Area",326589,326592,326909,328370,330227,332493,334085,335340
28100,"Kankakee, IL Metro Area",113449,113449,113450,113527,112988,112239,111473,110879
28140,"Kansas City, MO-KS Metro Area",2009342,2009338,2013703,2025082,2039356,2055178,2071283,2087471
28420,"Kennewick-Richland, WA Metro Area",253340,253340,255648,263758,268365,271158,274469,279116
28660,"Killeen-Temple, TX Metro Area",405300,405303,408337,412674,420073,423021,425143,431032
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",309544,309542,309584,309108,308862,308189,307723,307120
28740,"Kingston, NY Metro Area",182493,182531,182421,182676,181839,181054,180787,180143
28940,"Knoxville, TN Metro Area",837571,837579,838767,842853,847824,851632,857067,861424
29020,"Kokomo, IN Metro Area",82752,82752,82731,82851,82900,82825,82693,82556
29100,"La Crosse-Onalaska, WI-MN Metro Area",133665,133665,133880,134193,135558,135967,136595,136985
29180,"Lafayette, LA Metro Area",466750,466750,467612,470712,474247,479881,485411,490488
29200,"Lafayette-West Lafayette, IN Metro Area",201789,201798,202087,204493,207355,210108,212271,214363
29340,"Lake Charles, LA Metro Area",199607,199629,200009,200507,201128,202182,203544,205605
29420,"Lake Havasu City-Kingman, AZ Metro Area",200186,200186,200374,202671,203232,202839,203331,204737
29460,"Lakeland-Winter Haven, FL Metro Area",602095,602095,603192,609544,615584,622895,635264,650092
29540,"Lancaster, PA Metro Area",519445,519448,520357,523692,526879,530238,533645,536624
29620,"Lansing-East Lansing, MI Metro Area",464036,464032,464244,466125,466872,468087,470322,472276
29700,"Laredo, TX Metro Area",250304,250304,251337,255639,260015,263861,267018,269721
29740,"Las Cruces, NM Metro Area",209233,209241,210202,212982,214428,214051,214059,214295
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",1951269,1951269,1953378,1967290,1998204,2028421,2069146,2114801
29940,"Lawrence, KS Metro Area",110826,110826,111242,112415,113255,114651,116463,118053
30020,"Lawton, OK Metro Area",130291,130291,131563,132226,132754,131240,131352,130644
30140,"Lebanon, PA Metro Area",133568,133577,133673,134483,135528,135607,136196,137067
30300,"Lewiston, ID-WA Metro Area",60888,60888,61045,61358,61444,62022,62120,62153
30340,"Lewiston-Auburn, ME Metro Area",107702,107702,107706,107403,107558,107365,107408,107233
30460,"Lexington-Fayette, KY Metro Area",472099,472099,473464,478667,484921,489894,494982,500535
30620,"Lima, OH Metro Area",106331,106331,106405,105963,105329,105216,105048,104425
30700,"Lincoln, NE Metro Area",302157,302157,302985,306728,310601,314642,319840,323578
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",699757,699823,702416,710842,717780,724227,728960,731612
30860,"Logan, UT-ID Metro Area",125442,125442,126160,127701,128795,130128,131334,133857
30980,"Longview, TX Metro Area",214369,214384,214732,215934,216722,216425,216795,217781
31020,"Longview, WA Metro Area",102410,102410,102417,102375,101840,101792,102214,103468
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",12828837,12828966,12843875,12952686,13059779,13165355,13254397,13340068
3108011244,"Anaheim-Santa Ana-Irvine, CA Metro Division",3010232,3010266,3017866,3056084,3089343,3120180,3144961,3169776
3108031084,"Los Angeles-Long Beach-Glendale, CA Metro Division",9818605,9818700,9826009,9896602,9970436,10045175,10109436,10170292
31140,"Louisville/Jefferson County, KY-IN Metro Area",1235708,1235710,1237810,1244591,1252418,1263092,1271172,1278413
31180,"Lubbock, TX Metro Area",290805,290805,292203,295384,297967,301580,306680,311154
31340,"Lynchburg, VA Metro Area",252634,252659,253054,254196,255715,256934,258151,259950
31420,"Macon, GA Metro Area",232293,232293,232260,232780,232804,231316,230591,230096
31460,"Madera, CA Metro Area",150865,150865,151125,152089,152160,152125,154562,154998
31540,"Madison, WI Metro Area",605435,605437,606557,613926,620675,627739,634364,641385
31700,"Manchester-Nashua, NH Metro Area",400721,400721,401016,401758,402641,403444,405339,406678
31740,"Manhattan, KS Metro Area",92719,92735,93319,95366,98627,98175,97524,98545
31860,"Mankato-North Mankato, MN Metro Area",96740,96740,96840,97318,98014,97838,98754,99134
31900,"Mansfield, OH Metro Area",124475,124475,124173,123076,122600,122263,121914,121707
32580,"McAllen-Edinburg-Mission, TX Metro Area",774769,774774,779143,795272,807776,819173,831561,842304
32780,"Medford, OR Metro Area",203206,203206,203413,204761,206336,207998,210151,212567
32820,"Memphis, TN-MS-AR Metro Area",1324829,1324829,1326410,1332573,1340522,1341548,1342914,1344127
32900,"Merced, CA Metro Area",255793,255798,256832,259784,261788,263312,266087,268455
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5564635,5566299,5585605,5706159,5788070,5861337,5937100,6012331
3310022744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Division",1748066,1748148,1753263,1787582,1818491,1843583,1869679,1896425
3310033124,"Miami-Miami Beach-Kendall, FL Metro Division",2496435,2498017,2508171,2580077,2611183,2641928,2668903,2693117
3310048424,"West Palm Beach-Boca Raton-Delray Beach, FL Metro Division",1320134,1320134,1324171,1338500,1358396,1375826,1398518,1422789
33140,"Michigan City-La Porte, IN Metro Area",111467,111467,111454,111223,111223,111376,111695,110884
33220,"Midland, MI Metro Area",83629,83629,83664,83761,83660,83588,83479,83632
33260,"Midland, TX Metro Area",141671,141674,141806,145044,152178,157326,161440,166718
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1555908,1555954,1556715,1561467,1567495,1571207,1574115,1575747
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3348859,3348857,3355540,3389626,3423250,3460826,3495656,3524583
33540,"Missoula, MT Metro Area",109299,109299,109455,110160,111077,111731,112681,114181
33660,"Mobile, AL Metro Area",412992,413143,413332,413062,413750,414121,414926,415395
33700,"Modesto, CA Metro Area",514453,514451,515334,518282,522097,526119,531951,538388
33740,"Monroe, LA Metro Area",176441,176502,176798,177383,177800,178466,178622,179238
33780,"Monroe, MI Metro Area",152021,152021,151945,151535,150878,150253,149945,149568
33860,"Montgomery, AL Metro Area",374536,374529,375123,377880,375745,373646,373256,373792
34060,"Morgantown, WV Metro Area",129709,129709,130337,132310,134433,135635,136835,138176
34100,"Morristown, TN Metro Area",113951,114111,114166,114753,115007,115366,115674,116642
34580,"Mount Vernon-Anacortes, WA Metro Area",116901,116901,117004,117768,118032,118745,120325,121846
34620,"Muncie, IN Metro Area",117671,117671,117692,117824,117364,117435,117201,116852
34740,"Muskegon, MI Metro Area",172188,172188,171922,169985,170129,172213,172300,172790
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",376722,376722,378697,385691,394006,404441,417177,431964
34900,"Napa, CA Metro Area",136484,136530,136810,137998,139055,140413,141551,142456
34940,"Naples-Immokalee-Marco Island, FL Metro Area",321520,321520,322683,327742,332515,339537,348355,357305
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1670890,1670896,1675972,1698475,1727473,1759034,1793910,1830345
35100,"New Bern, NC Metro Area",126802,126802,127120,128261,128637,127515,127333,126245
35300,"New Haven-Milford, CT Metro Area",862477,862474,863401,863977,863921,862515,861238,859470
35380,"New Orleans-Metairie, LA Metro Area",1189866,1189863,1195613,1214065,1228059,1241508,1251962,1262888
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19567410,19566387,19601147,19756397,19871785,19994144,20095119,20182305
3562020524,"Dutchess County-Putnam County, NY Metro Division",397198,397198,397540,398181,396914,396559,395632,394796
3562035004,"Nassau County-Suffolk County, NY Metro Division",2832882,2833053,2836760,2847919,2850925,2857130,2861015,2862937
3562035084,"Newark, NJ-PA Metro Division",2471171,2469792,2472819,2483104,2488956,2499320,2506933,2511493
3562035614,"New York-Jersey City-White Plains, NY-NJ Metro Division",13866159,13866344,13894028,14027193,14134990,14241135,14331539,14413079
35660,"Niles-Benton Harbor, MI Metro Area",156813,156817,156792,156510,156015,155363,155299,154636
35840,"North Port-Sarasota-Bradenton, FL Metro Area",702281,702268,703366,708805,719982,732334,748795,768918
35980,"Norwich-New London, CT Metro Area",274055,274046,274067,273211,274394,273716,272743,271863
36100,"Ocala, FL Metro Area",331298,331304,331421,332272,334094,335688,338749,343254
36140,"Ocean City, NJ Metro Area",97265,97265,97263,96597,96447,95896,95359,94727
36220,"Odessa, TX Metro Area",137130,137133,137078,139733,144552,149666,154399,159436
36260,"Ogden-Clearfield, UT Metro Area",597159,597159,599800,606094,612852,622524,632295,642850
36420,"Oklahoma City, OK Metro Area",1252987,1252992,1257950,1276810,1298118,1321040,1337619,1358452
36500,"Olympia-Tumwater, WA Metro Area",252264,252264,253067,256529,258838,262666,266048,269536
36540,"Omaha-Council Bluffs, NE-IA Metro Area",865350,865356,868170,877024,885973,896024,905267,915312
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2134411,2134405,2139565,2176212,2226601,2272395,2326729,2387138
36780,"Oshkosh-Neenah, WI Metro Area",166994,166994,167059,167630,168717,169486,169639,169546
36980,"Owensboro, KY Metro Area",114752,114754,114777,115329,116002,116408,116507,117463
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",823318,823387,825298,831130,835416,840964,846119,850536
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",543376,543378,543966,544323,547495,551148,556902,568088
37460,"Panama City, FL Metro Area",184715,184715,185061,185312,187589,190649,194635,197506
37620,"Parkersburg-Vienna, WV Metro Area",92673,92673,92761,92629,92400,92361,92278,92332
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",448991,448991,451118,455372,462565,468479,472278,478043
37900,"Peoria, IL Metro Area",379186,379186,378947,379688,380408,381834,379784,378018
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5965343,5965379,5971463,5997102,6021349,6036356,6053720,6069875
3798015804,"Camden, NJ Metro Division",1250679,1250694,1251513,1253204,1253939,1251948,1252542,1252628
3798033874,"Montgomery County-Bucks County-Chester County, PA Metro Division",1924009,1924285,1926486,1935712,1942323,1949641,1956507,1962570
